Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,61,2,0,0,0,2
3,61,2,0,0,1,2
100,61,93,0,0,7,93
200,61,181,0,0,19,181
2000,61,1831,0,0,169,1831
10000,61,9022,0,0,978,9022
20000,61,17992,0,0,2008,17992
40000,61,35949,0,0,4051,35949
60000,61,53868,0,0,6132,53868
80000,61,72029,0,0,7971,72029
100000,61,89961,0,0,10039,89961
2,62,2,0,0,0,2
3,62,2,0,0,1,2
100,62,95,0,0,5,95
200,62,182,0,0,18,182
2000,62,1816,0,0,184,1816
10000,62,8967,0,0,1033,8967
20000,62,18068,0,0,1932,18068
40000,62,35908,0,0,4092,35908
60000,62,54097,0,0,5903,54097
80000,62,71948,0,0,8052,71948
100000,62,90133,0,0,9867,90133
2,63,2,0,0,0,2
3,63,2,0,0,1,2
100,63,93,0,0,7,93
200,63,175,0,0,25,175
2000,63,1805,0,0,195,1805
10000,63,9037,0,0,963,9037
20000,63,17981,0,0,2019,17981
40000,63,35969,0,0,4031,35969
60000,63,54088,0,0,5912,54088
80000,63,72020,0,0,7980,72020
100000,63,90006,0,0,9994,90006
2,64,2,0,0,0,2
3,64,2,0,0,1,2
100,64,90,0,0,10,90
200,64,178,0,0,22,178
2000,64,1795,0,0,205,1795
10000,64,8976,0,0,1024,8976
20000,64,17989,0,0,2011,17989
40000,64,35882,0,0,4118,35882
60000,64,54016,0,0,5984,54016
80000,64,72081,0,0,7919,72081
100000,64,90114,0,0,9886,90114
2,65,1,0,0,1,1
3,65,2,0,0,1,2
100,65,89,0,0,11,89
200,65,184,0,0,16,184
2000,65,1792,0,0,208,1792
10000,65,9071,0,0,929,9071
20000,65,18023,0,0,1977,18023
40000,65,36039,0,0,3961,36039
60000,65,53997,0,0,6003,53997
80000,65,72198,0,0,7802,72198
100000,65,89871,0,0,10129,89871
2,66,1,0,0,1,1
3,66,3,0,0,0,3
100,66,91,0,0,9,91
200,66,181,0,0,19,181
2000,66,1803,0,0,197,1803
10000,66,8970,0,0,1030,8970
20000,66,18068,0,0,1932,18068
40000,66,36018,0,0,3982,36018
60000,66,54035,0,0,5965,54035
80000,66,72036,0,0,7964,72036
100000,66,90087,0,0,9913,90087
2,67,2,0,0,0,2
3,67,3,0,0,0,3
100,67,92,0,0,8,92
200,67,185,0,0,15,185
2000,67,1813,0,0,187,1813
10000,67,8994,0,0,1006,8994
20000,67,18014,0,0,1986,18014
40000,67,35984,0,0,4016,35984
60000,67,54075,0,0,5925,54075
80000,67,72018,0,0,7982,72018
100000,67,90002,0,0,9998,90002
2,68,1,0,0,1,1
3,68,3,0,0,0,3
100,68,90,0,0,10,90
200,68,179,0,0,21,179
2000,68,1813,0,0,187,1813
10000,68,9005,0,0,995,9005
20000,68,17945,0,0,2055,17945
40000,68,35974,0,0,4026,35974
60000,68,54008,0,0,5992,54008
80000,68,72009,0,0,7991,72009
100000,68,90090,0,0,9910,90090
2,69,2,0,0,0,2
3,69,3,0,0,0,3
100,69,89,0,0,11,89
200,69,181,0,0,19,181
2000,69,1769,0,0,231,1769
10000,69,9059,0,0,941,9059
20000,69,18015,0,0,1985,18015
40000,69,36061,0,0,3939,36061
60000,69,54103,0,0,5897,54103
80000,69,71989,0,0,8011,71989
100000,69,89994,0,0,10006,89994
2,70,2,0,0,0,2
3,70,3,0,0,0,3
100,70,92,0,0,8,92
200,70,181,0,0,19,181
2000,70,1810,0,0,190,1810
10000,70,8983,0,0,1017,8983
20000,70,18003,0,0,1997,18003
40000,70,36014,0,0,3986,36014
60000,70,53896,0,0,6104,53896
80000,70,72011,0,0,7989,72011
100000,70,89948,0,0,10052,89948
2,71,2,0,0,0,2
3,71,3,0,0,0,3
100,71,93,0,0,7,93
200,71,180,0,0,20,180
2000,71,1781,0,0,219,1781
10000,71,8970,0,0,1030,8970
20000,71,18034,0,0,1966,18034
40000,71,36058,0,0,3942,36058
60000,71,54034,0,0,5966,54034
80000,71,71936,0,0,8064,71936
100000,71,90029,0,0,9971,90029
2,72,2,0,0,0,2
3,72,3,0,0,0,3
100,72,86,0,0,14,86
200,72,177,0,0,23,177
2000,72,1805,0,0,195,1805
10000,72,8998,0,0,1002,8998
20000,72,17952,0,0,2048,17952
40000,72,36017,0,0,3983,36017
60000,72,54073,0,0,5927,54073
80000,72,72050,0,0,7950,72050
100000,72,89835,0,0,10165,89835
2,73,2,0,0,0,2
3,73,1,0,0,2,1
