Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
10000,49,17072,10000,1000.0,2929,17072
20000,49,34035,20000,2000.0,5966,34035
40000,49,67943,40000,4000.0,12058,67943
60000,49,101842,60000,6000.0,18159,101842
80000,49,135819,80000,8000.0,24182,135819
100000,49,169938,100000,10000.0,30063,169938
2,50,5,3,0.3,0,5
3,50,6,4,0.4,1,6
100,50,173,100,10.0,28,173
200,50,338,200,20.0,63,338
2000,50,3373,2000,200.0,628,3373
10000,50,17052,10000,1000.0,2949,17052
20000,50,34018,20000,2000.0,5983,34018
40000,50,67988,40000,4000.0,12013,67988
60000,50,101897,60000,6000.0,18104,101897
80000,50,135777,80000,8000.0,24224,135777
100000,50,169956,100000,10000.0,30045,169956
2,51,5,3,0.3,0,5
3,51,5,3,0.3,2,5
100,51,167,100,10.0,34,167
200,51,345,200,20.0,56,345
2000,51,3391,2000,200.0,610,3391
10000,51,16940,10000,1000.0,3061,16940
20000,51,34004,20000,2000.0,5997,34004
40000,51,67880,40000,4000.0,12121,67880
60000,51,101925,60000,6000.0,18076,101925
80000,51,136079,80000,8000.0,23922,136079
100000,51,170362,100000,10000.0,29639,170362
2,52,5,3,0.3,0,5
3,52,6,4,0.4,1,6
100,52,172,100,10.0,29,172
200,52,349,200,20.0,52,349
2000,52,3400,2000,200.0,601,3400
10000,52,16958,10000,1000.0,3043,16958
20000,52,34022,20000,2000.0,5979,34022
40000,52,67901,40000,4000.0,12100,67901
60000,52,102010,60000,6000.0,17991,102010
80000,52,135937,80000,8000.0,24064,135937
100000,52,169975,100000,10000.0,30026,169975
2,53,5,3,0.3,0,5
3,53,6,4,0.4,1,6
100,53,174,100,10.0,27,174
200,53,337,200,20.0,64,337
2000,53,3355,2000,200.0,646,3355
10000,53,16975,10000,1000.0,3026,16975
20000,53,33966,20000,2000.0,6035,33966
40000,53,67889,40000,4000.0,12112,67889
60000,53,101978,60000,6000.0,18023,101978
80000,53,136011,80000,8000.0,23990,136011
100000,53,169952,100000,10000.0,30049,169952
2,54,5,3,0.3,0,5
3,54,6,4,0.4,1,6
100,54,170,100,10.0,31,170
200,54,345,200,20.0,56,345
2000,54,3430,2000,200.0,571,3430
10000,54,17001,10000,1000.0,3000,17001
20000,54,34102,20000,2000.0,5899,34102
40000,54,68128,40000,4000.0,11873,68128
60000,54,101948,60000,6000.0,18053,101948
80000,54,136091,80000,8000.0,23910,136091
100000,54,169794,100000,10000.0,30207,169794
2,55,5,3,0.3,0,5
3,55,6,4,0.4,1,6
100,55,172,101,10.1,29,172
200,55,325,200,20.0,76,325
2000,55,3406,2000,200.0,595,3406
10000,55,17049,10000,1000.0,2952,17049
20000,55,34044,20000,2000.0,5957,34044
40000,55,68020,40000,4000.0,11981,68020
60000,55,102049,60000,6000.0,17952,102049
80000,55,135846,80000,8000.0,24155,135846
100000,55,169972,100000,10000.0,30029,169972
2,56,5,3,0.3,0,5
3,56,6,4,0.4,1,6
100,56,167,100,10.0,34,167
200,56,332,200,20.0,69,332
2000,56,3393,2000,200.0,608,3393
10000,56,17016,10000,1000.0,2985,17016
20000,56,34036,20000,2000.0,5965,34036
40000,56,67749,40000,4000.0,12252,67749
60000,56,102077,60000,6000.0,17924,102077
80000,56,136174,80000,8000.0,23827,136174
100000,56,169731,100000,10000.0,30270,169731
2,57,4,3,0.3,1,4
3,57,7,4,0.4,0,7
