Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
40000,61,31935,40000,4000.0,8065,31935
60000,61,47912,60000,6000.0,12088,47912
80000,61,64092,80000,8000.0,15908,64092
100000,61,80136,100000,10000.0,19864,80136
2,62,1,2,0.2,1,1
3,62,3,3,0.3,0,3
100,62,84,100,10.0,16,84
200,62,160,200,20.0,40,160
2000,62,1609,2000,200.0,391,1609
10000,62,7982,10000,1000.0,2018,7982
20000,62,16024,20000,2000.0,3976,16024
40000,62,32014,40000,4000.0,7986,32014
60000,62,48156,60000,6000.0,11844,48156
80000,62,63907,80000,8000.0,16093,63907
100000,62,80144,100000,10000.0,19856,80144
2,63,2,2,0.2,0,2
3,63,1,3,0.3,2,1
100,63,73,100,10.0,27,73
200,63,165,200,20.0,35,165
2000,63,1603,2000,200.0,397,1603
10000,63,7952,10000,1000.0,2048,7952
20000,63,16109,20000,2000.0,3891,16109
40000,63,32118,40000,4000.0,7882,32118
60000,63,48170,60000,6000.0,11830,48170
80000,63,63926,80000,8000.0,16074,63926
100000,63,80096,100000,10000.0,19904,80096
2,64,2,2,0.2,0,2
3,64,2,3,0.3,1,2
100,64,75,100,10.0,25,75
200,64,162,200,20.0,38,162
2000,64,1614,2000,200.0,386,1614
10000,64,8008,10000,1000.0,1992,8008
